Id,Credit_card,Country,City,Phone
463,jcb,Senegal,Mbaké,+221 (898) 178-8426
464,mastercard,China,Jiedu,+86 (278) 430-0389
465,diners-club-carte-blanche,China,Haozhai,+86 (455) 953-6593
466,visa,Indonesia,Palamadu,+62 (610) 381-2122
467,visa-electron,Indonesia,Kalate,+62 (775) 557-4341
468,jcb,Brazil,Seropédica,+55 (737) 663-1093
469,jcb,China,Duntou,+86 (824) 448-7226
470,jcb,Philippines,Rimus,+63 (937) 896-5092
471,maestro,China,Chengdong,+86 (175) 732-1955
472,maestro,Egypt,Aswan,+20 (927) 157-5655
473,jcb,Peru,Niepos,+51 (448) 759-1080
474,bankcard,China,Shangganshan,+86 (777) 218-4768
475,jcb,Brazil,Imbituva,+55 (670) 834-7219
476,jcb,China,Gongfang,+86 (197) 766-2803
477,china-unionpay,China,Chigang,+86 (181) 725-9952
478,jcb,Indonesia,Koatas Lao,+62 (271) 989-4477
479,instapayment,Indonesia,Tanamiting,+62 (368) 834-4224
480,diners-club-carte-blanche,Sweden,Ludvika,+46 (315) 182-6933
481,jcb,Mexico,Azteca,+52 (296) 982-9320
482,americanexpress,Sweden,Vårby,+46 (413) 662-3431
483,jcb,Mexico,Emiliano Zapata,+52 (453) 744-2337
484,diners-club-carte-blanche,Luxembourg,Bech,+352 (339) 849-4883
485,jcb,China,Jingdu,+86 (633) 811-0124
486,maestro,Egypt,Manfalūţ,+20 (587) 530-4843
487,visa-electron,China,Qikeshu,+86 (454) 924-9311
488,china-unionpay,Egypt,Nuwaybi‘a,+20 (835) 953-7684
489,visa,Bolivia,Mairana,+591 (272) 341-3048
490,jcb,Slovenia,Lokavec,+386 (905) 313-1560
491,americanexpress,China,Yuantan,+86 (884) 292-1263
492,mastercard,Indonesia,Jangkat,+62 (928) 556-7758
493,jcb,Belarus,Byerazino,+375 (661) 760-2527
494,jcb,Japan,Kushiro,+81 (580) 444-5176
495,jcb,Indonesia,Sawahan,+62 (403) 956-8271
496,jcb,China,Ganchazi,+86 (638) 266-4386
497,china-unionpay,Morocco,Arbaoua,+212 (130) 119-3433
498,jcb,Bulgaria,Pliska,+359 (651) 209-6823
499,diners-club-carte-blanche,Sweden,Norrköping,+46 (347) 763-3548
500,bankcard,Indonesia,Warmare,+62 (704) 936-1019
501,bankcard,Bolivia,Aiquile,+591 (383) 369-2003
502,bankcard,Costa Rica,San Juan de Dios,+506 (678) 254-6558
503,jcb,Ukraine,Bashtanka,+380 (525) 278-1062
504,jcb,Norway,Tromsø,+47 (501) 553-3779
505,maestro,Iran,Isfahan,+98 (825) 538-7244
506,diners-club-carte-blanche,Azerbaijan,Birinci Aşıqlı,+994 (271) 609-4219
507,mastercard,Philippines,Atimonan,+63 (441) 857-0257
508,bankcard,Philippines,Nugas,+63 (890) 293-0700
509,diners-club-carte-blanche,Cambodia,Sisŏphŏn,+855 (648) 616-2176
510,jcb,Kazakhstan,Sorang,+7 (535) 362-6980
511,jcb,Ethiopia,Konso,+251 (217) 197-0315
512,diners-club-enroute,Poland,Belsk Duży,+48 (689) 793-4279
513,china-unionpay,Latvia,Rucava,+371 (665) 460-4945
514,bankcard,Yemen,Saḩab,+967 (162) 482-1362
515,mastercard,China,Daciyao,+86 (440) 687-4785
516,mastercard,Russia,Kurortnyy,+7 (476) 316-0644
517,diners-club-carte-blanche,Sweden,Halmstad,+46 (761) 284-8694
518,switch,China,Huanglong,+86 (999) 179-1634
519,jcb,Burkina Faso,Ouahigouya,+226 (550) 558-8433
520,jcb,Palestinian Territory,Rammūn,+970 (865) 249-7458
521,jcb,Czech Republic,Dolní Cerekev,+420 (601) 530-6758
522,jcb,Portugal,Idanha-a-Nova,+351 (238) 914-5512
523,jcb,Malaysia,Kangar,+60 (884) 969-0698
524,diners-club-carte-blanche,Indonesia,Jatinagara Kulon,+62 (330) 105-0021
525,maestro,Paraguay,Villa Florida,+595 (475) 182-6510
526,maestro,China,Chumen,+86 (523) 417-3858
527,laser,Colombia,El Carmen,+57 (502) 125-8259
528,switch,Russia,Svetogorsk,+7 (756) 706-5260
529,jcb,Philippines,Lusacan,+63 (929) 935-4990
530,diners-club-us-ca,Guatemala,San Manuel Chaparrón,+502 (476) 637-3200
531,jcb,Russia,Gornyak,+7 (237) 681-4161
532,jcb,China,Shiling,+86 (887) 412-5034
533,diners-club-enroute,China,Shenkou,+86 (154) 784-1391
534,jcb,Colombia,Belén de Umbría,+57 (242) 954-0693
535,jcb,Greece,Lakkíon,+30 (887) 253-9390
536,switch,Russia,Murmino,+7 (176) 170-3052
537,visa,Bulgaria,Koynare,+359 (304) 722-0021
538,jcb,Ukraine,Vuhlehirs’k,+380 (773) 681-4051
539,jcb,Portugal,Santulhão,+351 (878) 579-6737
540,americanexpress,Sweden,Umeå,+46 (386) 796-1015
541,jcb,Ukraine,Krolevets’,+380 (898) 738-0684
542,americanexpress,Colombia,Belalcazar,+57 (821) 819-0682
543,jcb,Peru,Tingo María,+51 (324) 969-5090
544,jcb,China,Zoushi,+86 (728) 325-2422
545,americanexpress,China,Chagou,+86 (607) 802-8605
546,jcb,Latvia,Lubāna,+371 (864) 830-4796
547,jcb,Bulgaria,Primorsko,+359 (520) 226-9210
548,mastercard,United States,Nashville,+1 (615) 290-8838
549,americanexpress,Indonesia,Bagikkedok Lauk,+62 (515) 690-8120
550,jcb,Philippines,Silvino Lobos,+63 (777) 994-1801
551,americanexpress,Indonesia,Siso,+62 (903) 113-0789
552,visa-electron,Mali,Tessalit,+223 (835) 611-5568
553,diners-club-carte-blanche,Poland,Raszków,+48 (785) 594-0898
554,jcb,China,Baibu,+86 (685) 174-3487
555,mastercard,Indonesia,Kiraman,+62 (602) 924-7571
556,jcb,Russia,Grecheskoye,+7 (837) 218-0236
557,bankcard,Japan,Yūki,+81 (875) 823-9687
558,mastercard,China,Huomachong,+86 (895) 370-2171
559,bankcard,Russia,Tosno,+7 (999) 846-5676
560,americanexpress,France,Nancy,+33 (119) 273-3475
561,switch,Russia,Svetlyy,+7 (167) 429-3827
562,jcb,Malaysia,Kota Kinabalu,+60 (334) 190-3229
563,jcb,Russia,Salmi,+7 (440) 179-6460
564,diners-club-carte-blanche,Norway,Trondheim,+47 (606) 630-7878
565,jcb,Sweden,Färjestaden,+46 (502) 754-8753
566,jcb,Peru,Cabanaconde,+51 (189) 738-2722
567,maestro,Gambia,Kaiaf,+220 (491) 179-9434
568,mastercard,China,Tuanjie,+86 (748) 394-9292
569,switch,Indonesia,Adil Makmur,+62 (367) 712-3250
570,mastercard,Ireland,Tralee,+353 (619) 778-0431
571,jcb,Chile,Valdivia,+56 (609) 869-2135
572,diners-club-enroute,Madagascar,Mananjary,+261 (913) 348-3254
573,americanexpress,Indonesia,Hokor,+62 (385) 898-9222
574,jcb,Netherlands,Deventer,+31 (793) 997-2744
575,jcb,Russia,Vanino,+7 (734) 727-1850
576,bankcard,Indonesia,Kamalaputi,+62 (308) 640-0843
577,jcb,Mexico,Santa Rosa,+52 (604) 383-4306
578,mastercard,China,Yangong,+86 (137) 972-8683
579,maestro,Indonesia,Putatbasiun,+62 (319) 756-2680
580,mastercard,China,Pinglin,+86 (585) 570-4742
581,jcb,China,Danan,+86 (875) 953-5597
582,china-unionpay,Comoros,Limbi,+269 (251) 699-7695
583,switch,Brazil,Paracatu,+55 (440) 112-2695
584,jcb,Somalia,Waajid,+252 (182) 828-7156
585,visa,Palestinian Territory,Turmus‘ayyā,+970 (801) 818-2654
586,maestro,Montenegro,Lipci,+382 (601) 326-9532
587,jcb,Indonesia,Pule,+62 (762) 420-1318
588,jcb,Serbia,Draginje,+381 (644) 139-9548
589,diners-club-carte-blanche,Poland,Krynki,+48 (760) 171-2002
590,jcb,Indonesia,Lancang,+62 (993) 775-5046
591,solo,Cape Verde,Praia,+238 (161) 745-2930
592,americanexpress,Mexico,Buenavista,+52 (818) 796-7739
593,jcb,Thailand,Na Chueak,+66 (487) 506-0715
594,jcb,New Zealand,Methven,+64 (815) 875-4223
595,mastercard,Japan,Kumagaya,+81 (142) 606-3533
596,jcb,China,Binhailu,+86 (155) 117-3006
597,diners-club-carte-blanche,Ecuador,Boca Suno,+593 (660) 761-3180
598,jcb,Philippines,Alae,+63 (992) 660-9100
599,jcb,Pakistan,Khairpur Nathan Shāh,+92 (972) 414-3884
600,switch,Indonesia,Padang,+62 (829) 329-4107
601,diners-club-us-ca,China,Liantan,+86 (926) 709-8513
602,china-unionpay,Indonesia,Tangkil,+62 (972) 614-7370
603,diners-club-enroute,Poland,Karpacz,+48 (672) 195-7719
604,switch,Finland,Pyhäselkä,+358 (409) 139-7703
605,mastercard,Philippines,San Luis,+63 (929) 983-9080
606,diners-club-carte-blanche,China,Jianchang,+86 (642) 850-5755
607,jcb,Poland,Bełchatów,+48 (816) 241-3472
608,bankcard,China,Taocun,+86 (875) 451-0345
609,laser,Indonesia,Talun,+62 (528) 140-4438
610,bankcard,Indonesia,Jambean,+62 (644) 982-1399
611,instapayment,Japan,Ishikawa,+81 (484) 798-3885
612,maestro,Andorra,Canillo,+376 (687) 361-4717
613,mastercard,Indonesia,Bojen Kulon,+62 (731) 741-2527
614,diners-club-international,Czech Republic,Malšice,+420 (427) 182-6871
615,visa-electron,South Korea,Kurye,+82 (266) 693-9084
616,visa-electron,China,Batan,+86 (700) 543-6782
617,mastercard,Belarus,Buynichy,+375 (742) 421-5038
618,diners-club-enroute,South Africa,Camperdown,+27 (461) 497-4134
619,maestro,Philippines,Taclobo,+63 (687) 135-0040
620,visa-electron,Japan,Himeji,+81 (288) 446-8650
621,jcb,Philippines,Caraga,+63 (775) 974-5143
622,bankcard,Serbia,Golubac,+381 (815) 275-5114
623,jcb,Turkmenistan,Bayramaly,+993 (597) 489-2119
624,americanexpress,China,Lihu,+86 (860) 423-4025
625,solo,Moldova,Rîbniţa,+373 (985) 746-6767
626,mastercard,France,Lille,+33 (910) 752-8596
627,diners-club-us-ca,Indonesia,Balai,+62 (614) 438-4452
628,jcb,France,Cannes,+33 (203) 446-6792
629,visa,Poland,Dębowa Łąka,+48 (144) 900-3229
630,jcb,Poland,Lubochnia,+48 (176) 126-8465
631,jcb,Saudi Arabia,Julayjilah,+966 (971) 568-1515
632,switch,Estonia,Narva,+372 (696) 804-4338
633,mastercard,Niger,Dosso,+227 (410) 884-5698
634,jcb,China,Dengfeng,+86 (438) 851-2548
635,laser,Guatemala,La Reforma,+502 (559) 281-5173
636,jcb,Iran,Bīleh Savār,+98 (352) 352-0689
637,switch,Canada,East Angus,+1 (328) 859-9538
638,diners-club-carte-blanche,Iran,Borūjen,+98 (936) 717-2714
639,china-unionpay,Belarus,Aktsyabrski,+375 (841) 908-6087
640,visa,Russia,Sterlitamak,+7 (270) 687-4663
641,switch,Portugal,Almargem do Bispo,+351 (118) 388-7542
642,maestro,Russia,Solnechnyy,+7 (219) 745-8680
643,jcb,Indonesia,Cendagah,+62 (932) 796-4236
644,china-unionpay,China,Ansheng,+86 (331) 751-5008
645,diners-club-enroute,Japan,Takatsuki,+81 (673) 769-2913
646,jcb,China,Hengxizhen,+86 (115) 364-2549
647,jcb,Jamaica,Linstead,+1 (493) 339-9408
648,jcb,Sweden,Nacka,+46 (213) 677-3681
649,jcb,France,Saint-Denis,+33 (520) 842-7643
650,visa-electron,Ireland,Tullyallen,+353 (578) 740-4365
651,jcb,China,Tongle,+86 (134) 231-3433
652,mastercard,Netherlands,Delft,+31 (429) 468-6398
653,jcb,Poland,Sławatycze,+48 (188) 353-3589
654,mastercard,United States,Dallas,+1 (214) 837-4618
655,diners-club-carte-blanche,Indonesia,Ciduren,+62 (882) 783-5350
656,china-unionpay,China,Taiyu,+86 (985) 823-5038
657,visa-electron,Indonesia,Nampera,+62 (532) 894-4488
658,diners-club-carte-blanche,Indonesia,Huilelot,+62 (984) 556-9229
659,visa,China,Xinglongquan,+86 (373) 217-5221
660,visa,Croatia,Rezovac,+385 (855) 670-3710
661,visa-electron,Japan,Iwakura,+81 (886) 558-6016
662,visa,China,Zhoujiang,+86 (912) 519-9981
663,instapayment,Sweden,Vänersborg,+46 (742) 582-8784
664,mastercard,Indonesia,Tiang,+62 (441) 240-5302
665,jcb,Armenia,Argavand,+374 (906) 454-9321
666,jcb,Indonesia,Kambingan,+62 (627) 577-3738
667,maestro,Paraguay,Bella Vista,+595 (739) 866-4720
668,americanexpress,China,Jiangkou,+86 (784) 890-4838
669,diners-club-enroute,Russia,Vorontsovka,+7 (134) 113-3895
670,diners-club-carte-blanche,Peru,Maras,+51 (402) 173-8020
671,jcb,Poland,Stare Juchy,+48 (239) 190-0901
672,jcb,Jordan,Al Mazār,+962 (742) 123-4851
673,americanexpress,Thailand,Yaring,+66 (642) 208-2942
674,jcb,Indonesia,Nangerang,+62 (282) 981-0346
675,visa,United States,Saint Petersburg,+1 (727) 955-7968
676,jcb,New Caledonia,Ouégoa,+687 (588) 908-4398
677,jcb,Indonesia,Gilin,+62 (428) 177-7870
678,bankcard,Pakistan,Faisalābād,+92 (777) 697-1890
679,diners-club-enroute,China,Juxing,+86 (161) 326-5319
680,bankcard,Cameroon,Tonga,+237 (170) 797-6287
681,mastercard,Libya,Az Zintān,+218 (519) 822-0821
682,jcb,China,Jiling,+86 (257) 572-1838
683,maestro,U.S. Virgin Islands,Saint Croix,+1 (216) 635-9662
684,bankcard,Argentina,Caleta Olivia,+54 (598) 321-1822
685,switch,Venezuela,Aroa,+58 (734) 606-6189
686,jcb,Philippines,Kalibo (poblacion),+63 (430) 145-2909
687,maestro,Honduras,San Jerónimo,+504 (737) 588-8525
688,bankcard,China,Zhaotong,+86 (783) 843-7618
689,visa,United States,Seattle,+1 (206) 122-7808
690,jcb,Palestinian Territory,Majdal Banī Fāḑil,+970 (789) 320-7789
691,jcb,Russia,Rossosh’,+7 (583) 420-8999
692,jcb,Bulgaria,Panagyurishte,+359 (773) 629-6012
693,mastercard,China,Nanmen,+86 (230) 386-0736
694,americanexpress,Indonesia,Kampunglistrik,+62 (572) 815-7671
695,jcb,Guatemala,San Pedro Jocopilas,+502 (298) 791-2630
696,jcb,Russia,Yessentuki,+7 (354) 529-5081
697,diners-club-international,Philippines,"Brgy. Nalook, kalibo",+63 (490) 281-7316
698,mastercard,Sweden,Bagarmossen,+46 (315) 409-1702
699,jcb,Philippines,Magbay,+63 (480) 873-0545
700,jcb,Portugal,Montes Velhos,+351 (262) 951-5415
701,mastercard,Canada,Beaverlodge,+1 (308) 608-8985
702,instapayment,Indonesia,Pasar Kidul,+62 (911) 956-7494
703,jcb,Russia,Divnoye,+7 (926) 560-3544
704,jcb,China,Guji,+86 (865) 251-1632
705,instapayment,Indonesia,Cikadu,+62 (372) 307-9525
706,jcb,Indonesia,Citangtu Kaler,+62 (591) 186-5077
707,jcb,Mongolia,Tsenher,+976 (351) 997-7428
708,diners-club-enroute,China,Choujiang,+86 (419) 681-0344
709,americanexpress,Portugal,Pontinha,+351 (408) 362-0263
710,jcb,Indonesia,Cigaleuh Kulon,+62 (994) 353-3666
711,mastercard,Syria,‘Ayn Ḩalāqīm,+963 (188) 562-5626
712,jcb,Brazil,Bragança,+55 (632) 151-8213
713,jcb,Saint Kitts and Nevis,Monkey Hill,+1 (313) 772-9277
714,visa,Russia,Gornyy,+7 (484) 678-8966
715,china-unionpay,Philippines,Prosperidad,+63 (811) 740-3628
716,jcb,Russia,Tëploye,+7 (961) 191-5289
717,instapayment,Yemen,‘Abs,+967 (830) 274-8011
718,jcb,South Korea,Anseong,+82 (274) 103-6017
719,visa-electron,Indonesia,Suruhan,+62 (712) 597-6456
720,maestro,Brazil,Governador Valadares,+55 (703) 751-6175
721,jcb,Philippines,San Guillermo,+63 (339) 908-7589
722,jcb,Guatemala,La Unión,+502 (632) 958-1475
723,instapayment,Denmark,København,+45 (517) 720-6919
724,bankcard,Portugal,Agodim,+351 (621) 641-1321
725,visa-electron,New Caledonia,Hienghène,+687 (905) 668-6669
726,visa-electron,Peru,Chicama,+51 (490) 606-4578
727,diners-club-enroute,South Korea,Chuncheon,+82 (925) 425-1135
728,jcb,Sweden,Öjebyn,+46 (944) 396-5794
729,jcb,Poland,Sieroszewice,+48 (597) 433-5306
730,switch,Indonesia,Rikitgaib,+62 (907) 354-7655
731,diners-club-carte-blanche,Philippines,Tubli,+63 (402) 747-7856
732,jcb,Indonesia,Baroh,+62 (308) 771-1399
733,china-unionpay,Portugal,Fundão,+351 (382) 518-2563
734,jcb,Kazakhstan,Stepnogorsk,+7 (147) 655-4256
735,jcb,Portugal,Sé,+351 (171) 309-3673
736,diners-club-enroute,Russia,Pochep,+7 (556) 472-8881
737,jcb,China,Xundian,+86 (240) 955-5441
738,china-unionpay,Cuba,Jesús Menéndez,+53 (618) 938-3789
739,china-unionpay,Japan,Takahama,+81 (540) 342-2360
740,mastercard,Afghanistan,Rū-ye Sang,+93 (499) 649-1975
741,jcb,China,Donggaocun,+86 (717) 328-4487
742,visa,Yemen,Ash Shawātī,+967 (256) 831-2617
743,bankcard,Ghana,Dome,+233 (305) 500-2789
744,jcb,Nigeria,Yandev,+234 (759) 678-4339
745,maestro,Sweden,Stockholm,+46 (921) 167-5133
746,americanexpress,Portugal,Quintãs,+351 (804) 946-5037
747,visa-electron,China,Tekes,+86 (633) 832-0658
748,jcb,China,Gengcheng,+86 (518) 404-9194
749,laser,China,Mugan,+86 (865) 562-9114
750,jcb,Philippines,Biga,+63 (890) 153-1729
751,americanexpress,Namibia,Keetmanshoop,+264 (407) 285-7874
752,china-unionpay,China,Siquanpu,+86 (608) 723-9001
753,switch,Philippines,Santa Rita,+63 (418) 880-6143
754,jcb,Indonesia,Ebak,+62 (592) 390-9097
755,maestro,Brazil,Águas de Lindóia,+55 (825) 352-2825
756,jcb,Canada,Leduc,+1 (592) 512-6548
757,visa-electron,Ukraine,Feodosiya,+380 (290) 203-1581
758,switch,Yemen,Markaz al Marīr,+967 (284) 695-1134
759,jcb,Indonesia,Secang Barat,+62 (287) 540-6985
760,jcb,China,Hualingang,+86 (539) 279-6371
761,mastercard,China,Yacheng,+86 (269) 466-8792
762,jcb,Pakistan,Choa Saidān Shāh,+92 (417) 708-0352
763,maestro,China,Xingang,+86 (423) 949-0295
764,jcb,Tanzania,Mtimbira,+255 (846) 973-4699
765,switch,Portugal,Rio de Moinhos,+351 (825) 403-4075
766,diners-club-carte-blanche,Slovenia,Celje,+386 (425) 550-7907
767,jcb,Philippines,Can-asujan,+63 (483) 714-9283
768,maestro,Japan,Ichinomiya,+81 (982) 492-9316
769,jcb,Portugal,Parreira,+351 (311) 101-3997
770,laser,Luxembourg,Clervaux,+352 (887) 906-0523
771,jcb,Indonesia,Kalibuntu,+62 (763) 436-6149
772,mastercard,Indonesia,Rambatan,+62 (463) 173-6470
773,china-unionpay,Argentina,Fernández,+54 (767) 487-1016
774,diners-club-carte-blanche,Afghanistan,Lashkar Gāh,+93 (704) 745-6767
775,bankcard,Trinidad and Tobago,Petit Valley,+1 (768) 548-3013
776,mastercard,China,Qijiaxi,+86 (487) 587-7287
777,visa-electron,Indonesia,Cikananga,+62 (554) 603-6853
778,maestro,Russia,Itatskiy,+7 (174) 999-4081
779,jcb,Poland,Wrząsowice,+48 (725) 647-0440
780,jcb,Peru,Colcabamba,+51 (987) 646-7895
781,jcb,Peru,Checacupe,+51 (646) 119-4477
782,diners-club-enroute,Brazil,Promissão,+55 (863) 294-5312
783,jcb,Portugal,Póvoa,+351 (683) 268-9451
784,jcb,Brazil,Planaltina,+55 (329) 661-9145
785,diners-club-carte-blanche,China,Xikou,+86 (709) 242-1909
786,diners-club-carte-blanche,China,Huancheng,+86 (570) 250-5577
787,visa-electron,Guatemala,Mazatenango,+502 (977) 381-3903
788,jcb,Sweden,Stockholm,+46 (707) 810-6083
789,jcb,Syria,Az Zabadānī,+963 (116) 618-4904
790,jcb,Indonesia,Dadapan,+62 (118) 633-9274
791,jcb,United States,Pittsburgh,+1 (412) 206-2001
792,visa-electron,Russia,Kenzhe,+7 (431) 687-9542
793,jcb,Indonesia,Garahan,+62 (399) 851-4532
794,visa,France,Niort,+33 (756) 924-6717
795,laser,Brazil,Tietê,+55 (181) 441-6150
796,maestro,China,Chengtou,+86 (162) 206-1890
797,bankcard,United States,Albany,+1 (518) 456-3873
798,jcb,Indonesia,Kadusimbar,+62 (493) 365-9744
799,jcb,North Korea,Hŭngnam,+850 (933) 281-8952
800,jcb,Poland,Wąsosz,+48 (297) 112-8651
801,laser,Russia,Beregovoy,+7 (731) 691-5701
802,jcb,Mexico,San Antonio,+52 (450) 421-9197
803,china-unionpay,Yemen,Al Misrākh,+967 (739) 356-6185
804,jcb,Greece,Mesopotamía,+30 (961) 868-2180
805,jcb,Pakistan,Mātli,+92 (929) 920-9202
806,jcb,Russia,Pereleshino,+7 (338) 874-5384
807,jcb,Sweden,Sundsvall,+46 (930) 505-5022
808,visa,United States,Los Angeles,+1 (323) 231-8761
809,mastercard,Indonesia,Muruni,+62 (635) 226-5772
810,bankcard,Brazil,São Francisco do Sul,+55 (271) 451-1436
811,jcb,Japan,Nanae,+81 (535) 999-2963
812,visa,Indonesia,Pesucen,+62 (143) 741-7173
813,visa,Bolivia,Rosario del Ingre,+591 (399) 170-2743
814,china-unionpay,Uzbekistan,Kogon,+998 (739) 392-2030
815,bankcard,South Africa,Standerton,+27 (477) 732-9696
816,visa-electron,France,Clermont-Ferrand,+33 (460) 721-8154
817,jcb,Japan,Watari,+81 (694) 411-9124
818,instapayment,Papua New Guinea,Kavieng,+675 (260) 338-1299
819,jcb,Madagascar,Fenoarivo Be,+261 (191) 932-2760
820,jcb,China,Changshou,+86 (975) 864-6097
821,diners-club-enroute,Philippines,Danao,+63 (672) 812-3477
822,americanexpress,China,Xiekou,+86 (691) 816-1771
823,diners-club-carte-blanche,Philippines,Apalit,+63 (774) 400-1986
824,instapayment,Guatemala,Santa Lucía Cotzumalguapa,+502 (795) 959-4448
825,americanexpress,Indonesia,Pakel,+62 (399) 121-8217
826,diners-club-us-ca,Uruguay,Florida,+598 (340) 355-3013
827,jcb,Russia,Vostryakovo,+7 (648) 426-0998
828,bankcard,China,Chengbei,+86 (452) 966-3863
829,diners-club-enroute,Brazil,Presidente Epitácio,+55 (193) 745-4238
830,americanexpress,Poland,Wyszków,+48 (122) 505-5729
831,maestro,United States,Fresno,+1 (559) 688-9037
832,jcb,Angola,Luanda,+244 (488) 652-7636
833,jcb,Ecuador,Manta,+593 (941) 899-6426
834,jcb,El Salvador,Santiago de María,+503 (639) 178-2458
835,jcb,Paraguay,Itauguá,+595 (392) 834-1755
836,americanexpress,Ireland,Greystones,+353 (338) 781-0296
837,jcb,Norway,Moss,+47 (592) 462-9618
838,diners-club-carte-blanche,Indonesia,Ngrejo,+62 (876) 608-6930
839,instapayment,China,Zhuxi,+86 (437) 567-8598
840,visa-electron,Serbia,Aranđelovac,+381 (953) 635-3569
841,mastercard,Indonesia,Kadubadak,+62 (197) 618-0873
842,solo,Maldives,Meedhoo,+960 (906) 790-7497
843,jcb,Poland,Maniowy,+48 (458) 724-6650
844,jcb,China,Hongyanxi,+86 (951) 513-1431
845,jcb,Sweden,Vårby,+46 (414) 834-8813
846,laser,France,Melun,+33 (130) 398-4642
847,jcb,China,Sihai,+86 (275) 755-9666
848,diners-club-international,Mexico,San Isidro,+52 (634) 357-5011
849,switch,Finland,Sulkava,+358 (244) 209-6752
850,jcb,Zambia,Mpika,+260 (534) 685-9437
851,diners-club-enroute,Indonesia,Dukuhpicung,+62 (321) 553-1499
852,jcb,Russia,Rostov,+7 (493) 859-9109
853,visa,China,Sangmu,+86 (561) 629-0143
854,china-unionpay,Japan,Morioka-shi,+81 (606) 171-4454
855,diners-club-enroute,Indonesia,Kebonbencoy,+62 (876) 892-9116
856,jcb,Sweden,Linköping,+46 (148) 592-6145
857,jcb,China,Huzhen,+86 (782) 124-1931
858,maestro,Morocco,Tissa,+212 (851) 435-5404
859,maestro,Myanmar,Myaydo,+95 (951) 156-2061
860,china-unionpay,Indonesia,Cilampuyang,+62 (961) 822-3219
861,mastercard,Sweden,Järfälla,+46 (699) 924-1800
862,jcb,China,Chengguan,+86 (715) 422-5188
863,mastercard,China,Jincheng,+86 (413) 181-0781
864,jcb,Thailand,Taphan Hin,+66 (371) 794-9689
865,switch,China,Shuiying,+86 (813) 452-1117
866,solo,Poland,Łysomice,+48 (181) 243-9921
867,mastercard,United States,New Orleans,+1 (504) 899-0283
868,visa-electron,Bulgaria,Yambol,+359 (614) 238-6517
869,mastercard,Mexico,Altavista,+52 (871) 164-7919
870,diners-club-enroute,South Sudan,Yambio,+249 (814) 737-8389
871,jcb,Uzbekistan,Shahrisabz Shahri,+998 (831) 792-8604
872,jcb,Brazil,Laranjal Paulista,+55 (442) 449-0853
873,jcb,United States,Zephyrhills,+1 (813) 953-8109
874,mastercard,Russia,Pervomayskoye,+7 (370) 359-0067
875,switch,Czech Republic,Jevíčko,+420 (512) 100-8671
876,maestro,Thailand,Nikhom Phattana,+66 (995) 813-9143
877,mastercard,Morocco,Zerkten,+212 (124) 628-2939
878,solo,China,Huanggang,+86 (512) 581-3689
879,jcb,Mexico,Magisterial,+52 (700) 712-8915
880,jcb,United States,Durham,+1 (919) 779-6666
881,visa,Pakistan,Ādilpur,+92 (204) 651-0681
882,switch,Indonesia,Antrukan,+62 (373) 610-1532
883,americanexpress,Portugal,Pereira,+351 (560) 878-0709
884,jcb,China,Huizhai,+86 (663) 769-5881
885,maestro,Philippines,San Celestio,+63 (467) 317-4823
886,jcb,Italy,Napoli,+39 (251) 409-1875
887,bankcard,Brazil,Porciúncula,+55 (115) 387-1520
888,americanexpress,Tunisia,Jendouba,+216 (714) 882-7074
889,instapayment,Indonesia,Guyangan,+62 (692) 995-8017
890,jcb,Tanzania,Liuli,+255 (188) 224-6525
891,jcb,China,Hexi,+86 (391) 448-5342
892,americanexpress,Colombia,Granada,+57 (812) 332-1431
893,jcb,Tajikistan,Chkalov,+992 (819) 505-6977
894,mastercard,Sweden,Mora,+46 (640) 803-6637
895,jcb,Jamaica,Spanish Town,+1 (360) 228-9161
896,diners-club-enroute,Afghanistan,Lashkar Gāh,+93 (811) 670-9339
897,mastercard,Indonesia,Mafa,+62 (569) 490-8294
898,diners-club-enroute,Russia,Neryungri,+7 (933) 254-7197
899,jcb,Syria,Al Buţayḩah,+963 (898) 809-0391
900,jcb,China,Ma’ao,+86 (862) 197-3140
901,visa-electron,China,Fengmen,+86 (446) 405-4637
902,jcb,China,Guandiping,+86 (299) 708-8553
903,mastercard,Peru,Congas,+51 (159) 901-3407
904,americanexpress,Sweden,Sala,+46 (127) 276-7294
905,switch,Brazil,Castro,+55 (484) 850-7804
906,jcb,Morocco,Sidi Bousber,+212 (226) 346-6313
907,jcb,China,Nancha,+86 (873) 610-9532
908,jcb,Russia,Kamensk-Shakhtinskiy,+7 (259) 303-0744
909,mastercard,Japan,Urayasu,+81 (531) 767-8924
910,jcb,China,Hetian,+86 (418) 786-7958
911,jcb,China,Shihuang,+86 (805) 865-7348
912,jcb,Poland,Babice,+48 (131) 226-8906
913,diners-club-carte-blanche,Poland,Bielawa,+48 (748) 701-7294
914,mastercard,Palestinian Territory,Bayt Maqdūm,+970 (207) 584-4324
915,china-unionpay,Nigeria,Mahuta,+234 (296) 267-9330
916,bankcard,Botswana,Kanye,+267 (992) 122-5927
917,jcb,Japan,Tendō,+81 (219) 595-5796
918,mastercard,Brazil,Itaguaçu,+55 (398) 639-3384
919,instapayment,Brazil,Petrópolis,+55 (561) 164-8521
920,jcb,Chile,Illapel,+56 (128) 943-6454
921,visa-electron,Argentina,Mainque,+54 (992) 778-1735
922,jcb,Liechtenstein,Planken,+423 (673) 838-5218
923,jcb,Indonesia,Manna,+62 (760) 968-8771
